ell,residuals,osc_fit
1823,-2.6203737297698228e-18,-3.3801257383239495e-14
1824,-5.522531756433198e-18,-4.7929334539951735e-14
1825,-8.325705765214665e-18,-6.193311263193311e-14
1826,-1.1025170123719213e-17,-7.577750361811826e-14
1827,-1.3616617794093489e-17,-8.942781881975824e-14
1828,-1.6096160141793317e-17,-1.0284985583681075e-13
1829,-1.846032559415253e-17,-1.1600998424590034e-13
1830,-2.0706057185253786e-17,-1.2887522986512669e-13
1831,-2.2830709025691588e-17,-1.4141335737458607e-13
1832,-2.4832041737698538e-17,-1.5359295108559106e-13
1833,-2.6708216897902627e-17,-1.6538349365621206e-13
1834,-2.8457790531499843e-17,-1.7675544255590967e-13
1835,-3.0079705703098257e-17,-1.8768030408766788e-13
1836,-3.157328425067369e-17,-1.9813070478215686e-13
1837,-3.293821771019359e-17,-2.0808045998503886e-13
1838,-3.417455747934988e-17,-2.1750463946556504e-13
1839,-3.528270426961061e-17,-2.2637962988207248e-13
1840,-3.626339689636768e-17,-2.346831939478675e-13
1841,-3.7117700457402576e-17,-2.4239452614924884e-13
1842,-3.784699395016119e-17,-2.494943048760621e-13
1843,-3.845295737846131e-17,-2.559647408341672e-13
1844,-3.893755839923028e-17,-2.6178962161851734e-13
1845,-3.93030385597103e-17,-2.669543523351568e-13
1846,-3.955189917527282e-17,-2.7144599217037925e-13
1847,-3.968688689754045e-17,-2.752532868153851e-13
1848,-3.971097902196535e-17,-2.783666966652199e-13
1849,-3.9627368583323245e-17,-2.8077842072132754e-13
1850,-3.943944928678041e-17,-2.824824161378293e-13
1851,-3.9150800321284616e-17,-2.8347441336255407e-13
1852,-3.8765171101008944e-17,-2.837519268348815e-13
1853,-3.828646597945357e-17,-2.833142612135936e-13
1854,-3.771872897961905e-17,-2.8216251311913057e-13
1855,-3.706612858233367e-17,-2.802995683858846e-13
1856,-3.6332942613470736e-17,-2.7773009483141766e-13
